wine_no,taster_name,taster_twitter
109,Kerin O’Keefe,@kerinokeefe
110,Roger Voss,@vossroger
111,Virginie Boone,@vboone
112,Kerin O’Keefe,@kerinokeefe
113,Kerin O’Keefe,@kerinokeefe
114,Matt Kettmann,@mattkettmann
115,Matt Kettmann,@mattkettmann
116,Matt Kettmann,@mattkettmann
117,Matt Kettmann,@mattkettmann
118,Kerin O’Keefe,@kerinokeefe
119,,
120,,
121,,
122,,
123,Joe Czerwinski,@JoeCz
124,,
125,Roger Voss,@vossroger
126,,
127,,
128,,
129,,
130,,
131,,
132,Roger Voss,@vossroger
133,,
134,,
135,,
136,Joe Czerwinski,@JoeCz
137,Roger Voss,@vossroger
138,,
139,,
140,,
141,,
142,,
143,,
144,Virginie Boone,@vboone
145,Matt Kettmann,@mattkettmann
146,Matt Kettmann,@mattkettmann
147,Matt Kettmann,@mattkettmann
148,Anna Lee C. Iijima,
149,Matt Kettmann,@mattkettmann
1368,,
150,Virginie Boone,@vboone
151,Roger Voss,@vossroger
152,Matt Kettmann,@mattkettmann
153,Matt Kettmann,@mattkettmann
154,Michael Schachner,@wineschach
155,Matt Kettmann,@mattkettmann
156,Anna Lee C. Iijima,
157,Roger Voss,@vossroger
158,Kerin O’Keefe,@kerinokeefe
159,Kerin O’Keefe,@kerinokeefe
160,Roger Voss,@vossroger
161,Matt Kettmann,@mattkettmann
162,Matt Kettmann,@mattkettmann
163,Roger Voss,@vossroger
164,Michael Schachner,@wineschach
165,Michael Schachner,@wineschach
166,Roger Voss,@vossroger
167,Matt Kettmann,@mattkettmann
168,Virginie Boone,@vboone
169,Virginie Boone,@vboone
170,Anna Lee C. Iijima,
171,Anna Lee C. Iijima,
172,Michael Schachner,@wineschach
173,Paul Gregutt,@paulgwine 
174,Joe Czerwinski,@JoeCz
175,,
176,Michael Schachner,@wineschach
177,,
178,,
179,Roger Voss,@vossroger
180,,
181,,
182,,
183,Michael Schachner,@wineschach
184,,
185,Michael Schachner,@wineschach
186,,
187,,
188,Michael Schachner,@wineschach
189,Michael Schachner,@wineschach
190,,
191,Joe Czerwinski,@JoeCz
192,,
193,Roger Voss,@vossroger
194,,
195,,
196,,
197,Lauren Buzzeo,@laurbuzz
198,Virginie Boone,@vboone
234,,
199,Jim Gordon,@gordone_cellars
200,Kerin O’Keefe,@kerinokeefe
201,Kerin O’Keefe,@kerinokeefe
202,Mike DeSimone,@worldwineguys
203,Roger Voss,@vossroger
204,Matt Kettmann,@mattkettmann
205,Matt Kettmann,@mattkettmann
206,Virginie Boone,@vboone
207,Virginie Boone,@vboone
208,Lauren Buzzeo,@laurbuzz
209,Joe Czerwinski,@JoeCz
210,Lauren Buzzeo,@laurbuzz
211,Joe Czerwinski,@JoeCz
212,Michael Schachner,@wineschach
213,Matt Kettmann,@mattkettmann
214,Virginie Boone,@vboone
215,Mike DeSimone,@worldwineguys
216,Kerin O’Keefe,@kerinokeefe
217,Roger Voss,@vossroger
218,Virginie Boone,@vboone
219,Jeff Jenssen,@worldwineguys
220,Virginie Boone,@vboone
221,Kerin O’Keefe,@kerinokeefe
222,Kerin O’Keefe,@kerinokeefe
223,Kerin O’Keefe,@kerinokeefe
224,Michael Schachner,@wineschach
225,Lauren Buzzeo,@laurbuzz
226,Lauren Buzzeo,@laurbuzz
227,,
228,,
229,,
230,Susan Kostrzewa,@suskostrzewa
231,Michael Schachner,@wineschach
232,,
233,Paul Gregutt,@paulgwine 
235,,
236,,
237,,
238,Joe Czerwinski,@JoeCz
239,,
240,Roger Voss,@vossroger
241,,
242,,
243,,
244,Michael Schachner,@wineschach
245,Michael Schachner,@wineschach
246,,
247,,
248,Paul Gregutt,@paulgwine 
249,,
250,,
251,Paul Gregutt,@paulgwine 
252,,
253,Michael Schachner,@wineschach
254,,
255,Virginie Boone,@vboone
256,Lauren Buzzeo,@laurbuzz
257,Lauren Buzzeo,@laurbuzz
258,Lauren Buzzeo,@laurbuzz
259,Roger Voss,@vossroger
260,Paul Gregutt,@paulgwine 
261,Michael Schachner,@wineschach
262,Virginie Boone,@vboone
263,,
264,Lauren Buzzeo,@laurbuzz
265,Lauren Buzzeo,@laurbuzz
266,Michael Schachner,@wineschach
267,,
268,,
269,Roger Voss,@vossroger
270,,
271,Susan Kostrzewa,@suskostrzewa
272,,
273,Michael Schachner,@wineschach
274,,
275,Michael Schachner,@wineschach
276,,
277,,
278,Paul Gregutt,@paulgwine 
279,,
280,Roger Voss,@vossroger
281,,
282,Kerin O’Keefe,@kerinokeefe
283,Paul Gregutt,@paulgwine 
284,Michael Schachner,@wineschach
285,Roger Voss,@vossroger
286,,
287,Michael Schachner,@wineschach
288,Roger Voss,@vossroger
289,,
290,Roger Voss,@vossroger
291,Kerin O’Keefe,@kerinokeefe
292,Roger Voss,@vossroger
293,Joe Czerwinski,@JoeCz
294,Michael Schachner,@wineschach
295,,
296,Michael Schachner,@wineschach
297,,
298,Michael Schachner,@wineschach
299,,
300,,
301,Paul Gregutt,@paulgwine 
302,,
303,,
304,,
305,Virginie Boone,@vboone
306,Anna Lee C. Iijima,
1765,Roger Voss,@vossroger
307,Roger Voss,@vossroger
308,Susan Kostrzewa,@suskostrzewa
309,,
310,,
311,Joe Czerwinski,@JoeCz
312,,
313,,
314,,
315,,
316,Roger Voss,@vossroger
317,Roger Voss,@vossroger
318,Michael Schachner,@wineschach
319,,
320,,
321,,
322,,
323,Michael Schachner,@wineschach
324,,
325,Susan Kostrzewa,@suskostrzewa
3625,,
326,,
327,Michael Schachner,@wineschach
328,,
329,,
330,,
331,Michael Schachner,@wineschach
332,,
333,,
334,Roger Voss,@vossroger
335,,
336,Michael Schachner,@wineschach
337,Lauren Buzzeo,@laurbuzz
338,Roger Voss,@vossroger
339,Michael Schachner,@wineschach
340,Anne Krebiehl MW,@AnneInVino
341,Virginie Boone,@vboone
342,Michael Schachner,@wineschach
343,Michael Schachner,@wineschach
344,Michael Schachner,@wineschach
361,Kerin O’Keefe,@kerinokeefe
345,Joe Czerwinski,@JoeCz
346,Joe Czerwinski,@JoeCz
347,Anna Lee C. Iijima,
348,Joe Czerwinski,@JoeCz
349,Joe Czerwinski,@JoeCz
350,Kerin O’Keefe,@kerinokeefe
351,Jeff Jenssen,@worldwineguys
352,Virginie Boone,@vboone
353,Roger Voss,@vossroger
354,Anna Lee C. Iijima,
355,Virginie Boone,@vboone
356,Joe Czerwinski,@JoeCz
357,Roger Voss,@vossroger
358,Anna Lee C. Iijima,
359,Roger Voss,@vossroger
360,Joe Czerwinski,@JoeCz
362,Virginie Boone,@vboone
363,Roger Voss,@vossroger
364,Paul Gregutt,@paulgwine 
365,Joe Czerwinski,@JoeCz
366,Joe Czerwinski,@JoeCz
367,Michael Schachner,@wineschach
368,Joe Czerwinski,@JoeCz
369,Joe Czerwinski,@JoeCz
370,,
371,Roger Voss,@vossroger
372,Roger Voss,@vossroger
373,Roger Voss,@vossroger
374,,
375,,
376,Roger Voss,@vossroger
377,Roger Voss,@vossroger
378,,
379,Joe Czerwinski,@JoeCz
380,Michael Schachner,@wineschach
381,Joe Czerwinski,@JoeCz
382,Michael Schachner,@wineschach
383,Joe Czerwinski,@JoeCz
384,Roger Voss,@vossroger
385,,
386,,
387,,
388,Roger Voss,@vossroger
389,Joe Czerwinski,@JoeCz
390,Michael Schachner,@wineschach
391,Michael Schachner,@wineschach
392,,
393,Michael Schachner,@wineschach
394,Michael Schachner,@wineschach
395,Roger Voss,@vossroger
396,,
397,Michael Schachner,@wineschach
398,Michael Schachner,@wineschach
399,,
400,,
401,,
402,Michael Schachner,@wineschach
403,,
404,,
405,,
406,Roger Voss,@vossroger
407,Michael Schachner,@wineschach
408,,
409,Susan Kostrzewa,@suskostrzewa
410,Susan Kostrzewa,@suskostrzewa
411,,
412,,
413,,
414,,
415,Susan Kostrzewa,@suskostrzewa
416,,
417,,
3626,,
418,Roger Voss,@vossroger
419,Roger Voss,@vossroger
420,Roger Voss,@vossroger
421,Sean P. Sullivan,@wawinereport
422,Sean P. Sullivan,@wawinereport
423,Anne Krebiehl MW,@AnneInVino
424,Jim Gordon,@gordone_cellars
425,Anna Lee C. Iijima,
426,Michael Schachner,@wineschach
427,Anna Lee C. Iijima,
428,Anne Krebiehl MW,@AnneInVino
429,Sean P. Sullivan,@wawinereport
430,Matt Kettmann,@mattkettmann
431,Matt Kettmann,@mattkettmann
432,Sean P. Sullivan,@wawinereport
433,Jim Gordon,@gordone_cellars
434,Kerin O’Keefe,@kerinokeefe
435,Anne Krebiehl MW,@AnneInVino
436,Kerin O’Keefe,@kerinokeefe
437,Virginie Boone,@vboone
438,Michael Schachner,@wineschach
439,Michael Schachner,@wineschach
440,Sean P. Sullivan,@wawinereport
441,Anne Krebiehl MW,@AnneInVino
442,Anna Lee C. Iijima,
443,Virginie Boone,@vboone
444,Anne Krebiehl MW,@AnneInVino
445,Kerin O’Keefe,@kerinokeefe
446,Matt Kettmann,@mattkettmann
447,Roger Voss,@vossroger
448,Joe Czerwinski,@JoeCz
449,Kerin O’Keefe,@kerinokeefe
450,Roger Voss,@vossroger
451,Kerin O’Keefe,@kerinokeefe
452,Roger Voss,@vossroger
6305,Virginie Boone,@vboone
453,Roger Voss,@vossroger
454,Sean P. Sullivan,@wawinereport
455,,
456,Virginie Boone,@vboone
457,,
458,Kerin O’Keefe,@kerinokeefe
459,Roger Voss,@vossroger
460,Paul Gregutt,@paulgwine 
461,Paul Gregutt,@paulgwine 
462,Roger Voss,@vossroger
463,Roger Voss,@vossroger
464,Anna Lee C. Iijima,
465,Kerin O’Keefe,@kerinokeefe
466,Roger Voss,@vossroger
467,Paul Gregutt,@paulgwine 
468,Anna Lee C. Iijima,
469,Anna Lee C. Iijima,
470,Roger Voss,@vossroger
471,Roger Voss,@vossroger
472,Roger Voss,@vossroger
473,Roger Voss,@vossroger
474,Roger Voss,@vossroger
475,,
476,,
477,Roger Voss,@vossroger
478,Roger Voss,@vossroger
479,,
480,Paul Gregutt,@paulgwine 
481,,
482,,
483,Lauren Buzzeo,@laurbuzz
484,Lauren Buzzeo,@laurbuzz
485,Joe Czerwinski,@JoeCz
6503,Roger Voss,@vossroger
486,,
487,,
488,,
489,,
490,Michael Schachner,@wineschach
491,Roger Voss,@vossroger
492,Paul Gregutt,@paulgwine 
493,Paul Gregutt,@paulgwine 
494,Anna Lee C. Iijima,
495,Virginie Boone,@vboone
496,Michael Schachner,@wineschach
497,Virginie Boone,@vboone
498,,
499,Roger Voss,@vossroger
500,Michael Schachner,@wineschach
501,Virginie Boone,@vboone
502,Roger Voss,@vossroger
503,,
504,Joe Czerwinski,@JoeCz
505,Michael Schachner,@wineschach
506,,
507,Paul Gregutt,@paulgwine 
508,Paul Gregutt,@paulgwine 
509,Virginie Boone,@vboone
510,Matt Kettmann,@mattkettmann
511,Roger Voss,@vossroger
512,Roger Voss,@vossroger
513,Virginie Boone,@vboone
514,Michael Schachner,@wineschach
515,Virginie Boone,@vboone
516,Virginie Boone,@vboone
517,Virginie Boone,@vboone
518,Roger Voss,@vossroger
519,Jim Gordon,@gordone_cellars
520,Matt Kettmann,@mattkettmann
521,Matt Kettmann,@mattkettmann
522,Paul Gregutt,@paulgwine 
523,Paul Gregutt,@paulgwine 
524,Sean P. Sullivan,@wawinereport
525,Matt Kettmann,@mattkettmann
526,Paul Gregutt,@paulgwine 
527,Anna Lee C. Iijima,
528,Roger Voss,@vossroger
529,Virginie Boone,@vboone
530,Michael Schachner,@wineschach
531,Paul Gregutt,@paulgwine 
532,Paul Gregutt,@paulgwine 
533,Paul Gregutt,@paulgwine 
534,Matt Kettmann,@mattkettmann
535,Anna Lee C. Iijima,
536,Sean P. Sullivan,@wawinereport
537,Virginie Boone,@vboone
538,Paul Gregutt,@paulgwine 
539,Matt Kettmann,@mattkettmann
540,Matt Kettmann,@mattkettmann
541,Matt Kettmann,@mattkettmann
542,Kerin O’Keefe,@kerinokeefe
543,Virginie Boone,@vboone
544,Matt Kettmann,@mattkettmann
545,Virginie Boone,@vboone
546,Virginie Boone,@vboone
547,Matt Kettmann,@mattkettmann
548,Virginie Boone,@vboone
549,Kerin O’Keefe,@kerinokeefe
550,Virginie Boone,@vboone
551,Virginie Boone,@vboone
552,Roger Voss,@vossroger
553,Michael Schachner,@wineschach
554,Roger Voss,@vossroger
555,Sean P. Sullivan,@wawinereport
556,Michael Schachner,@wineschach
557,Matt Kettmann,@mattkettmann
558,Jim Gordon,@gordone_cellars
559,Virginie Boone,@vboone
560,Virginie Boone,@vboone
561,Jim Gordon,@gordone_cellars
562,Virginie Boone,@vboone
563,Matt Kettmann,@mattkettmann
564,Matt Kettmann,@mattkettmann
565,Matt Kettmann,@mattkettmann
566,Virginie Boone,@vboone
567,Michael Schachner,@wineschach
568,Virginie Boone,@vboone
569,Sean P. Sullivan,@wawinereport
570,Sean P. Sullivan,@wawinereport
571,Jim Gordon,@gordone_cellars
572,Kerin O’Keefe,@kerinokeefe
573,Roger Voss,@vossroger
574,Joe Czerwinski,@JoeCz
575,Roger Voss,@vossroger
576,Roger Voss,@vossroger
577,Anna Lee C. Iijima,
578,Roger Voss,@vossroger
579,Jim Gordon,@gordone_cellars
580,Sean P. Sullivan,@wawinereport
581,Sean P. Sullivan,@wawinereport
582,Sean P. Sullivan,@wawinereport
583,Matt Kettmann,@mattkettmann
584,Anne Krebiehl MW,@AnneInVino
585,Sean P. Sullivan,@wawinereport
586,Anne Krebiehl MW,@AnneInVino
587,Anne Krebiehl MW,@AnneInVino
588,Jim Gordon,@gordone_cellars
589,Anne Krebiehl MW,@AnneInVino
590,Matt Kettmann,@mattkettmann
591,Anne Krebiehl MW,@AnneInVino
592,Sean P. Sullivan,@wawinereport
593,Anne Krebiehl MW,@AnneInVino
594,Joe Czerwinski,@JoeCz
595,Sean P. Sullivan,@wawinereport
596,Susan Kostrzewa,@suskostrzewa
597,Anne Krebiehl MW,@AnneInVino
598,Matt Kettmann,@mattkettmann
599,,
600,,
601,Michael Schachner,@wineschach
602,,
603,Anna Lee C. Iijima,
604,Michael Schachner,@wineschach
605,Michael Schachner,@wineschach
606,Sean P. Sullivan,@wawinereport
607,Sean P. Sullivan,@wawinereport
608,Roger Voss,@vossroger
609,Paul Gregutt,@paulgwine 
610,,
611,,
612,,
613,Roger Voss,@vossroger
614,,
615,Michael Schachner,@wineschach
616,,
617,,
618,,
619,,
620,,
621,,
622,Sean P. Sullivan,@wawinereport
623,Sean P. Sullivan,@wawinereport
624,Sean P. Sullivan,@wawinereport
625,,
626,,
627,,
628,Joe Czerwinski,@JoeCz
629,Virginie Boone,@vboone
630,Paul Gregutt,@paulgwine 
631,Anne Krebiehl MW,@AnneInVino
632,Anne Krebiehl MW,@AnneInVino
633,Joe Czerwinski,@JoeCz
634,Virginie Boone,@vboone
635,Michael Schachner,@wineschach
636,Joe Czerwinski,@JoeCz
637,Anne Krebiehl MW,@AnneInVino
638,Anne Krebiehl MW,@AnneInVino
639,Anne Krebiehl MW,@AnneInVino
640,Matt Kettmann,@mattkettmann
641,Virginie Boone,@vboone
642,Roger Voss,@vossroger
643,Virginie Boone,@vboone
644,Matt Kettmann,@mattkettmann
645,Paul Gregutt,@paulgwine 
646,Roger Voss,@vossroger
647,Roger Voss,@vossroger
648,Anna Lee C. Iijima,
649,Virginie Boone,@vboone
650,Kerin O’Keefe,@kerinokeefe
651,Anne Krebiehl MW,@AnneInVino
652,Joe Czerwinski,@JoeCz
653,Matt Kettmann,@mattkettmann
654,Anne Krebiehl MW,@AnneInVino
655,Jim Gordon,@gordone_cellars
656,Paul Gregutt,@paulgwine 
657,Lauren Buzzeo,@laurbuzz
658,Virginie Boone,@vboone
659,Sean P. Sullivan,@wawinereport
660,Virginie Boone,@vboone
661,Jim Gordon,@gordone_cellars
662,Kerin O’Keefe,@kerinokeefe
663,Virginie Boone,@vboone
664,Kerin O’Keefe,@kerinokeefe
665,Kerin O’Keefe,@kerinokeefe
666,Sean P. Sullivan,@wawinereport
667,Michael Schachner,@wineschach
668,Anna Lee C. Iijima,
669,Sean P. Sullivan,@wawinereport
670,Sean P. Sullivan,@wawinereport
671,Virginie Boone,@vboone
672,Anna Lee C. Iijima,
673,Jim Gordon,@gordone_cellars
674,Virginie Boone,@vboone
675,Virginie Boone,@vboone
676,Sean P. Sullivan,@wawinereport
677,Kerin O’Keefe,@kerinokeefe
678,Kerin O’Keefe,@kerinokeefe
679,Sean P. Sullivan,@wawinereport
680,Michael Schachner,@wineschach
681,Sean P. Sullivan,@wawinereport
682,Kerin O’Keefe,@kerinokeefe
683,Kerin O’Keefe,@kerinokeefe
684,Sean P. Sullivan,@wawinereport
685,Virginie Boone,@vboone
686,Kerin O’Keefe,@kerinokeefe
687,Matt Kettmann,@mattkettmann
688,Sean P. Sullivan,@wawinereport
689,Matt Kettmann,@mattkettmann
9415,,
690,Anne Krebiehl MW,@AnneInVino
691,Jim Gordon,@gordone_cellars
692,Kerin O’Keefe,@kerinokeefe
693,Virginie Boone,@vboone
694,Lauren Buzzeo,@laurbuzz
695,Kerin O’Keefe,@kerinokeefe
696,Joe Czerwinski,@JoeCz
697,Anne Krebiehl MW,@AnneInVino
698,Sean P. Sullivan,@wawinereport
699,Lauren Buzzeo,@laurbuzz
700,Michael Schachner,@wineschach
701,Roger Voss,@vossroger
702,Roger Voss,@vossroger
703,Roger Voss,@vossroger
704,Roger Voss,@vossroger
12052,Virginie Boone,@vboone
705,Joe Czerwinski,@JoeCz
706,Roger Voss,@vossroger
707,Roger Voss,@vossroger
708,Roger Voss,@vossroger
709,Virginie Boone,@vboone
710,Joe Czerwinski,@JoeCz
711,Virginie Boone,@vboone
712,Virginie Boone,@vboone
713,Virginie Boone,@vboone
714,Joe Czerwinski,@JoeCz
715,Michael Schachner,@wineschach
716,Joe Czerwinski,@JoeCz
717,Roger Voss,@vossroger
718,Roger Voss,@vossroger
719,Roger Voss,@vossroger
720,Roger Voss,@vossroger
721,Michael Schachner,@wineschach
722,Michael Schachner,@wineschach
723,Roger Voss,@vossroger
724,Alexander Peartree,
725,Kerin O’Keefe,@kerinokeefe
726,Roger Voss,@vossroger
727,Paul Gregutt,@paulgwine 
728,Michael Schachner,@wineschach
729,Roger Voss,@vossroger
730,Jim Gordon,@gordone_cellars
731,Lauren Buzzeo,@laurbuzz
732,Roger Voss,@vossroger
733,Roger Voss,@vossroger
734,Michael Schachner,@wineschach
735,Michael Schachner,@wineschach
736,Matt Kettmann,@mattkettmann
737,Roger Voss,@vossroger
738,Michael Schachner,@wineschach
739,Kerin O’Keefe,@kerinokeefe
740,Alexander Peartree,
741,Roger Voss,@vossroger
742,Roger Voss,@vossroger
814,Kerin O’Keefe,@kerinokeefe
743,Virginie Boone,@vboone
744,Kerin O’Keefe,@kerinokeefe
745,Roger Voss,@vossroger
746,Joe Czerwinski,@JoeCz
747,,
748,Anna Lee C. Iijima,
749,Roger Voss,@vossroger
750,,
751,Michael Schachner,@wineschach
752,Roger Voss,@vossroger
753,,
754,Michael Schachner,@wineschach
755,,
756,,
757,,
758,,
759,Virginie Boone,@vboone
760,,
761,Michael Schachner,@wineschach
762,Michael Schachner,@wineschach
763,Michael Schachner,@wineschach
764,,
765,,
766,Joe Czerwinski,@JoeCz
767,Michael Schachner,@wineschach
768,Joe Czerwinski,@JoeCz
769,,
770,Roger Voss,@vossroger
771,,
772,Roger Voss,@vossroger
773,Roger Voss,@vossroger
774,Paul Gregutt,@paulgwine 
775,Paul Gregutt,@paulgwine 
776,Roger Voss,@vossroger
777,,
778,Paul Gregutt,@paulgwine 
779,Roger Voss,@vossroger
780,,
781,,
782,,
783,,
784,Roger Voss,@vossroger
785,Michael Schachner,@wineschach
786,Roger Voss,@vossroger
787,Virginie Boone,@vboone
788,Michael Schachner,@wineschach
789,Anna Lee C. Iijima,
790,Sean P. Sullivan,@wawinereport
791,Paul Gregutt,@paulgwine 
792,Roger Voss,@vossroger
793,Sean P. Sullivan,@wawinereport
794,Matt Kettmann,@mattkettmann
795,Roger Voss,@vossroger
796,Roger Voss,@vossroger
797,Roger Voss,@vossroger
798,Roger Voss,@vossroger
799,Roger Voss,@vossroger
800,Matt Kettmann,@mattkettmann
801,Virginie Boone,@vboone
802,Roger Voss,@vossroger
803,Sean P. Sullivan,@wawinereport
804,Sean P. Sullivan,@wawinereport
805,Paul Gregutt,@paulgwine 
806,Jim Gordon,@gordone_cellars
807,Joe Czerwinski,@JoeCz
808,Kerin O’Keefe,@kerinokeefe
809,Michael Schachner,@wineschach
810,Virginie Boone,@vboone
811,Anna Lee C. Iijima,
812,Jim Gordon,@gordone_cellars
813,Joe Czerwinski,@JoeCz
2009,Roger Voss,@vossroger
815,Sean P. Sullivan,@wawinereport
816,Anna Lee C. Iijima,
817,Michael Schachner,@wineschach
818,Roger Voss,@vossroger
819,Roger Voss,@vossroger
820,Michael Schachner,@wineschach
821,Michael Schachner,@wineschach
822,Kerin O’Keefe,@kerinokeefe
823,Matt Kettmann,@mattkettmann
824,Jim Gordon,@gordone_cellars
825,Kerin O’Keefe,@kerinokeefe
826,Kerin O’Keefe,@kerinokeefe
827,Michael Schachner,@wineschach
828,Roger Voss,@vossroger
829,Paul Gregutt,@paulgwine 
830,Roger Voss,@vossroger
831,Roger Voss,@vossroger
832,Roger Voss,@vossroger
833,Kerin O’Keefe,@kerinokeefe
3119,,
834,Michael Schachner,@wineschach
835,Roger Voss,@vossroger
836,Michael Schachner,@wineschach
837,Michael Schachner,@wineschach
838,Paul Gregutt,@paulgwine 
839,Anna Lee C. Iijima,
840,Roger Voss,@vossroger
841,Jim Gordon,@gordone_cellars
842,Roger Voss,@vossroger
843,Paul Gregutt,@paulgwine 
844,Kerin O’Keefe,@kerinokeefe
845,Kerin O’Keefe,@kerinokeefe
846,Anne Krebiehl MW,@AnneInVino
847,Anne Krebiehl MW,@AnneInVino
848,Roger Voss,@vossroger
849,Roger Voss,@vossroger
850,Roger Voss,@vossroger
851,Roger Voss,@vossroger
852,Anne Krebiehl MW,@AnneInVino
853,Anna Lee C. Iijima,
854,Jim Gordon,@gordone_cellars
855,Matt Kettmann,@mattkettmann
856,Kerin O’Keefe,@kerinokeefe
857,Matt Kettmann,@mattkettmann
858,Paul Gregutt,@paulgwine 
859,Virginie Boone,@vboone
860,Matt Kettmann,@mattkettmann
861,Kerin O’Keefe,@kerinokeefe
862,Kerin O’Keefe,@kerinokeefe
863,Matt Kettmann,@mattkettmann
864,Anna Lee C. Iijima,
865,Kerin O’Keefe,@kerinokeefe
866,Joe Czerwinski,@JoeCz
867,Paul Gregutt,@paulgwine 
868,Michael Schachner,@wineschach
869,Matt Kettmann,@mattkettmann
907,Roger Voss,@vossroger
870,Jim Gordon,@gordone_cellars
871,Virginie Boone,@vboone
872,Paul Gregutt,@paulgwine 
873,Jeff Jenssen,@worldwineguys
874,Roger Voss,@vossroger
875,Roger Voss,@vossroger
876,Michael Schachner,@wineschach
877,,
878,Roger Voss,@vossroger
879,Roger Voss,@vossroger
880,,
881,Michael Schachner,@wineschach
882,,
883,,
884,,
885,,
886,Lauren Buzzeo,@laurbuzz
887,Roger Voss,@vossroger
888,Paul Gregutt,@paulgwine 
889,,
890,,
891,,
892,Paul Gregutt,@paulgwine 
893,Joe Czerwinski,@JoeCz
894,,
895,,
896,Virginie Boone,@vboone
897,Paul Gregutt,@paulgwine 
898,,
899,,
900,Michael Schachner,@wineschach
901,Roger Voss,@vossroger
902,Alexander Peartree,
903,Anna Lee C. Iijima,
904,Kerin O’Keefe,@kerinokeefe
905,Alexander Peartree,
906,Alexander Peartree,
908,Kerin O’Keefe,@kerinokeefe
909,Kerin O’Keefe,@kerinokeefe
910,Michael Schachner,@wineschach
911,Lauren Buzzeo,@laurbuzz
912,Paul Gregutt,@paulgwine 
913,Mike DeSimone,@worldwineguys
914,Michael Schachner,@wineschach
915,Paul Gregutt,@paulgwine 
916,Paul Gregutt,@paulgwine 
917,Kerin O’Keefe,@kerinokeefe
918,Kerin O’Keefe,@kerinokeefe
919,Michael Schachner,@wineschach
920,Joe Czerwinski,@JoeCz
921,Roger Voss,@vossroger
922,Michael Schachner,@wineschach
923,Roger Voss,@vossroger
924,Joe Czerwinski,@JoeCz
925,Jim Gordon,@gordone_cellars
926,Michael Schachner,@wineschach
927,Roger Voss,@vossroger
928,Kerin O’Keefe,@kerinokeefe
929,Jim Gordon,@gordone_cellars
930,Michael Schachner,@wineschach
