wine_no,designation,winery
92,Magnificat,Franciscan
93,,Fuchs
94,Grand Klasse Reserve Lawrence Vineyards,Gård
95,,Henry Fessy
96,,Henry Fessy
97,Ingle Vineyard,Heron Hill
98,Dono Riserva,Serpaia di Endrizzi
99,Intreccio Library Selection,Soquel Vineyards
6304,,Remy-Pannier
100,,Ventosa
101,Red Oak Vineyard,Lamoreaux Landing
102,Yellow Dog Vineyard,Lamoreaux Landing
103,Single Vineyard Falaris Hill,Leyda
104,Nativo,Madonna Alta
105,Villa Antinori,Marchesi Antinori
106,Castiglioni,Marchesi de' Frescobaldi
107,Ammiraglia Massovivo,Marchesi de' Frescobaldi
108,J.D. Hurley,Martin Ranch
109,Le Volte,Ornellaia
110,Les Quartelets,Pardon et Fils
111,Wolff Vineyard,Piña
112,Semifonte,Podere Ciona
113,Poetico,Poggioventoso
114,BDX,Pull
115,,Pull
116,Camp 4 Vineyard,R2
117,Estate,Rideau
118,Toscano,Tenuta Forconi
119,Schoenenbourg Grand Cru Vendanges Tardives,Dopff & Irion
120,Bricco Rocche Prapó,Ceretto
121,Stuhlmuller Vineyard,Matrix
122,Rockpile Cemetary Vineyard,Mauritson
123,Parson's Flat,Henry's Drive Vignerons
124,,Silverado
125,Cabernet Sauvignon Reserve,Le Riche
126,Vendages Tardives,Pierre Sparr
127,Alsace One,Pierre Sparr
128,,Kuentz-Bas
129,Philosophers' Stone,Camberley
130,Bricco Rocche Brunate,Ceretto
131,Gentil,Dopff & Irion
132,Grand Reserve,Delheim
133,,Poderi Luigi Einaudi
134,,Clark-Clauden
135,Sorano,Giacomo Ascheri
136,,Lassègue
137,Hope Marguerite,Beaumont
138,Crustacés,Dopff & Irion
139,Cuvée Jerémy Sélection de Grains Nobles,Kuentz-Bas
140,Costa Bruna,Poderi Colla
141,Vigna dei Pola,Giacomo Ascheri
142,,Banyan
143,Hunawihr Clos Windsbuhl,Domaine Zind-Humbrecht
144,K Block,Terra Valentine
145,Guidotti Vineyard,Testarossa
146,Family Reserve,Vincent Vineyards
147,Family Reserve,Vincent Vineyards
148,Dry,Weingut Liebfrauenstift
149,Destruction Level,Wrath
1368,,Gainey
150,Ruth's Reach,Yardstick
151,Gerações Colheita Seleccionada Branco,Herdade Grande
152,Estate Reserve,Albatross Ridge
153,Old 900,Alta Colina
154,Single Vineyard Estate Bottled,Marques de Griñon
155,,Big Basin
156,Graacher Himmelreich Spätlese,Carl Graff
157,Grande Reserva Tinto,Casa Santa Vitória
158,Bellezza Gran Selezione,Castello di Gabbiano
159,Filo di Seta,Castello Romitorio
160,,Château Vincens
161,Mr. Nibbles,Chronic Cellars
162,Claiborne Vineyard,Claiborne & Churchill
163,Hospices Civils de Romanèche Thurins,Collin-Bourisset
164,Condesa Real Premium Blend,Conde de Velázquez
165,20 Barrels,Cono Sur
166,Charles de Batz,Domaine Berthoumieu
167,,Dracaena
168,Rector Creek Vineyard,Duckhorn
169,Dutton Ranch,Dutton-Goldfield
170,Brauneberger Feinherb,Fritz Haag
171,,Fritz Haag
172,The 7th Generation Gran Reserva Estate Bottled,G7
173,,Le Cadeau
174,,Stoneleigh
175,De Silva,Tenuta Peter Sölva & Söhne
176,Unusual Cabernet-Shiraz-Zinfandel,TerraMater
177,,Isole e Olena
178,Jack London Vineyard,Kenwood
179,Les Vénérables Vieilles Vignes,La Chablisienne
180,Lucia Highland Vineyard,Manzoni
181,Mission Ranch,McIntyre Vineyards
182,M. Vigna,Abbadia Ardenga
183,,Alamos
184,,Anaba
185,Envero Gran Reserva,Apaltagua
186,Wiley Vineyard,Harrington
187,Montenero,Abbazia Santa Anastasia
188,Casa La Joya Reserve,Viña Bisquertt
189,Natura,Emiliana
190,Campole,Fattoria Alois
191,The Trial of John Montford,Henry's Drive Vignerons
192,Le Pietre Santambrogio,Aldegheri
193,,Bertrand Ambroise
194,,Campomaggio
195,Riserva,Carpineto
196,Pancole,Cesani
197,21 Gables,Spier
198,Four Soil Mélange,Sequum
234,Cerasuolo Rosè,Talamonti
199,Rising Starr Estate Bottled,Sierra Starr
200,Riserva,Tenuta di Sesta
201,Nova Domus Riserva,Terlan
202,,Yatir
203,Montes Claros Garrafeira,Adega Cooperativa de Borba
204,Gesture,J. Lohr
205,October Night,J. Lohr
206,,Courtney Benham
207,Home Ranch Teldeschi Vineyards Century Old Vine,Del Carlo Winery
208,Reserve,Delaire Graff
209,,Domaine St Pierre
210,,Eikendal
211,Les Christins,Famille Perrin
212,Fermentado en Barrica,Matarromera
213,1105,MCV
214,Verah,Mounts
215,French Blend,Or Haganuz
216,,Podere Scopetone
217,,Quinta de Foz de Arouce
218,,Robert Mondavi
219,Megyer Dry,Samuel Tinon
220,,Sixteen by Twenty
221,Passion Riserva,St. Pauls
222,Trentennale,Talenti
223,,Terlan
224,Lunta,Mendel
225,,Oldenburg
226,,Oldenburg
227,Grace House,Wagner
228,Semi-Dry,Treleaven
229,Costa Del Sol,Benessere
230,,Bloomer Creek
231,,Andean Sky
232,Red Belly Black,Angove's
233,Reserve,Silvan Ridge
235,Thompson Vineyard,Testarossa
236,Kiss Ridge Vineyard,Meeker
237,,Consorzio Vini Tipici di San Marino
238,The Derelict Vineyard,D'Arenberg
239,,Dogwood
240,,Domaine du Tariquet
241,,Falcor
242,Reserve Selection,Hayman & Hill
243,Blanc de Blanc,Hermann J. Wiemer
244,Herederos de François Lurton Villafrance de Duero,J. & F. Lurton
245,Reserve,Finca Las Moras
246,Destinations,Long Flat
247,Reserve,Work
248,Estate Single Vineyard,Amity
249,Petit Verdot-Merlot,Autumn Hill
250,Estate,Blue Rock
251,Papillon Estate,Cherry Hill
252,Seity,Cloud 9
253,Reserve,Cueva de las Manos
254,,David Fulton
255,Reserva,Esterlina
256,Goat-Roti,Goats do Roam Wine Co.
257,The William,Graham Beck
258,,Hartenberg
259,Noir 46,Vignobles 46N118
260,Estate,Willamette Valley Vineyards
261,Estate Blend Gran Reserva,Algodon
262,Fairytale,Beaver Creek
263,Monument,Byron
264,,Jardin
265,Nine Yards,Jardin
266,Corte Malbec-Bonarda-Petit Verdot,Kaiken
267,Torre di Giano Vigna il Pino,Lungarotti
268,Terso,Marchesi Fumanelli
269,,Mariell
270,,Livio Felluga
271,,My Big Fat Greek Wine
272,Sirmian,Nals Margreid
273,B Crux,O. Fournier
274,Estrosa,Pico Maccario
275,Reserva de Familia,Sottano
276,Old Vines,St. Francis
277,,Trailhead
278,Bishop Creek,Erath
279,,Franz Haas
280,Schiefer Reserve,Forstreiter
281,Bench Break Vineyard,Cambria
282,Dulcamara,I Giusti e Zanza
283,Bella Vida Vineyard Unfiltered,J. Christopher
284,Marchiori Vineyard Block C2,Viña Cobos
285,Steiner Kögl Erste Lage,Salomon-Undhof
286,Rincon Vineyard,Talley
287,Braó Vinyes Velles,Acústic
288,Kremser Gebling Erste Lage,Josef Schmid
289,Fortune Teller,Parallel
290,,Château Lafon-Rochet
291,,Dionigi
292,Vin Jaune,Domaine Daniel Dugois
293,Green's Vineyard,Kilikanoon
294,Synthesis,Finca Sophenia
295,Treana Red,Treana
296,Grey [Glacier] Single Block Trinidad Vineyard,Ventisquero
297,,Aquinas
298,,Arboleda
299,Pinay,Attilio Ghisolfi
300,Estate,Benessere
301,Whiteline No Oak,Buried Cane
302,,Cantina del Nebbiolo
303,4 Vigne,Cascina Adelaide
304,Vignassa,Cascina La Ghersa
305,,Claudia Springs
306,,Cramele Recas
1765,,Cap Royal
307,Les Dames Huguettes,Domaine Bertagna
308,Asirtiko Athiri,Domaine Sigalas
309,,Socré
310,,Boffa
311,,Otto's Constant Dream
312,,Mount Veeder
313,,Rabino
314,,Robert Mondavi
315,Extra Dry,Bellussi
316,Les Amants Mont-Pérat,Château Mont-Pérat
317,,Château Tour de Mirambeau
318,Reserva,Aresti
319,Millesimato Brut,Paladin
320,Col di Manza Extra Dry Millesimato,Perlage
321,Brut,Sant Eurosia
322,Millesimato Dry,Sant Eurosia
323,Gran Araucano,J. & F. Lurton
324,Matiú Brut,L'Antica Quercia
325,,Lucas Vineyards
3625,Altes Vineyard,Willowbrook
326,Extra Dry,Marsuret
327,Legado Reserva,De Martino
328,Alluvium Blanc,Beringer
329,Reserve,Brutocao
330,Lila's Cuvée,Clos La Chance
331,Visión,Cono Sur
332,Palazzo Rosso Brut,Sommariva
333,Col del Sas Extra Dry,Spagnol
334,Mosaïque Rosé Brut,Jacquart
335,Arió Extra Dry,L'Antica Quercia
336,Costa,Koyle
337,,Château Notre Dame du Quatourze
338,,Mémoires
339,1887 Rosado,Cavas Hill
340,Tradition,Antoine Moltès & Fils
341,Serracino Reserve,Pezzi King
342,,Bellisco
343,Grand Reserve,Pura 8
344,Gran Reserva,Viña Tarapacá
361,Simposio,Bel Colle
345,Rare,Chambers Rosewood Vineyards
346,Rare,Chambers Rosewood Vineyards
347,Kiedrich Gräfenberg Trockenbeerenauslese,Robert Weil
348,Grand,Chambers Rosewood Vineyards
349,RunRig,Torbreck
350,Vignolo Riserva,Cavallotto
351,Eszencia,Oremus
352,South River,Rochioli
353,Le Montrachet,Louis Latour
354,Kiedrich Gräfenberg Beerenauslese,Robert Weil
355,Sweetwater,Rochioli
356,Georgia's Paddock,Jasper Hill
357,Vieilles Vignes,Château de la Tour
358,Hattenheimer Hassel Auslese,Weingut Hans Bausch
359,Les Chenevottes Premier Cru,Philippe Colin
360,Descendant,Torbreck
362,Jamie,J. Davies
363,,Louis Latour
364,Weber Vineyard,Winderlea
365,St. Andrews Single Vineyard Release,Wakefield
366,Vorberg,Cantina Terlano
367,Reserva de la Familia,De Martino
368,,Montresor
369,,Ronco del Gelso
370,Cherryblock Vineyard,Sebastiani
371,Castel Ringberg,Elena Walch
372,Classico,Gini
373,I Fiori del Borgo,Borgo Conventi
374,Kathleen's Vineyard,Ceago Vinegarden
375,Vino in Musica,Valiano
376,Zuc de Volpe,Volpe Pasini
377,Vigneto Massoni,Zenato
378,Private Reserve,L.A. Cetto
379,Bianco dei Sorni,La Vis
380,Estate Bottled,Lapostolle
381,Vigne Alte,Fratelli Zeni
382,Estate Grown Reserve,Carmen
383,Vigneto Santa Cecilia,Tommasi
384,Sanct Valentin,San Michele Eppan
385,,Vinoce
386,Windacre Vineyard,Merriam
387,Reserve Fume,Murphy-Goode
388,Paragon Vineyard,Kynsi
389,Terlano Classico,Cantina Terlano
390,Reserve,Casa Julia
391,Reserve,Valdivieso
392,,Bridlewood
393,Castillo de Molina Reserva,San Pedro
394,Reserva,Undurraga
395,Rylint,Conti Formentini
396,Ancient Vines,Cline
397,Visión,Cono Sur
398,Estate Selection,Aresti
399,Extra Dry,Astoria
400,Brut,Cantine Maschio
401,Millesimato Extra Dry,Val d'Oca
402,Casa la Joya Reserve,Viña Bisquertt
403,Le Bon Viveur,Vinavanti
404,White Hawk Vineyard,Vino V
405,Extra Dry,Viticoltori Ponte
406,Brut Mosaïque,Jacquart
407,Casa,Lapostolle
408,Millesimato Extra Dry,Le Vigne di Alice
409,Dry,McGregor
410,,Miles
411,Split Oak Vineyard,Morro Bay
412,Canah Brut,Perlage
413,,Pizzolato
414,Stefany Extra Dry,Pizzolato
415,,Red Newt Cellars
416,Extra Dry,Ca'Tullio
417,,Pizzolato
3626,,Hesperian
418,Biokult Zweigelt Pinot Noir,Michlits
419,,Château de Callac
420,,Château de Marsan
421,Confidential Source,Guardian
422,Blue Mountain Vineyard,Kerloo
423,Kittl,Kohl
424,Verdigris,Las Positas
425,Bridge Lane,Lieb
426,Seis,Luberri
427,Cuvée Gabriella Brut Rosé,Macari
428,Crazy Creatures,Malat
429,The Estates Clifton Hill Vineyard,Milbrandt
430,McGinley Vineyard,Ojai
431,Indie,ONX
432,Upland Vineyard,Pomum
433,Stepping Stones,Prospect 772
434,Rocche dell'Annunziata,Revello Fratelli
435,Lage Modler,Gebeshuber
436,Gold Label,Tenuta La Marchesa
437,Henry's Blend,Trione
438,Século,Vinos de Arganza
439,Marqués de Montejos Selección,Vinos de Arganza
440,,Walla Walla Vintners
441,Rosé,Winzer Krems
442,Caya,Wölffer
443,Estate Grown,Dunbar
444,Altweingarten,Eschenhof Holzer
445,Vigorosa Rosato,Fattorie Romeo del Castello
446,,Flying Cloud
447,Domaine de la Vieille Cure Sur Lie,Gadais Père et Fils
448,Domaine de la Becassonne,André Brunel
449,Pas Dosé Aligi Sassu,Majolini
450,Classe M,Montaudon
451,Messaggero,Montemercurio
452,Les Tillets,Patrick Javillier
6305,,Road i Red
453,Brut Prestige,Philippe Fontaine
454,Reserve Icewine,Pillitteri
455,Reserve,Robert Mondavi
456,Brut,Roederer Estate
457,Solomon Hills Vineyard,Rusack
458,Gran Cuvée Pas Operé,Bellavista
459,Tzarina No 1 Brut,Chanoine
460,Ridgecrest Vineyards,Chehalem
461,Stoller Vineyards,Chehalem
462,Blagny Premier Cru,Henri de Villamont
463,Cuvée Marguerite Brut,Vollereaux
464,Westhofen Morstein GG Trocken,Wittmann
465,Morar,Valentina Cubi
466,Blanc de Blancs Brut,Deutz
467,Evenstad Reserve,Domaine Serene
468,Ürziger Würzgarten Alte Reben GG Trocken,Dr. Loosen
469,Wehlener Sonnenuhr Kabinett,Dr. Loosen
470,Édition Limitée Extra Brut,H. Blin
471,Les Chatelots Premier Cru,Henri de Villamont
472,Les Feusselottes Premier Cru,Henri de Villamont
473,Gerações Colheita Seleccionada,Herdade Grande
474,Les Grands Nots Millesimé Brut,Jeaunaux-Robin
475,Clone 6,Bell
476,La Castellana,Castello di Amorosa
477,,Château Vray Croix de Gay
478,Grand Cru Family Reserve Brut,Dampierre
479,Riserva,Santa Maria La Palma
480,Stella Mae,Sparkman
481,Costera,Argiolas
482,Ocean's Ghost,Babcock
483,,Cape View
484,Petit,Ken Forrester
485,,Louis Bernard
6503,Reserva,Quinta do Romeu
486,L de Lyeth,Lyeth
487,Tovè,Marco Cecchini
488,,Vigneti Le Monde
489,,Vigneti Le Monde
490,Reserva Brut,V&N; Cellars
491,Kellermeister Privat Goldberg,Winzer Krems
492,,Zerba Cellars
493,,Insania
494,,Knapp
495,Battonage,Lava Cap
496,Collection Blanco,Loess
497,Babcock Vineyard,MICA Cellars
498,Annabella,Michael Pozzan
499,L'Esprit de Provence,Domaine du Grand Cros
500,Rosado,El Coto
501,Silvaspoons Vineyard,Fenestra
502,Muscato,Gunter Triebaumer
503,,Hanna
504,Réserve Grand Veneur,Alain Jaume et Fils
505,,Aleo
506,,Altùris
507,Clifton Vineyard,Camaraderie
508,,Camaraderie
509,Quantum,Beringer
510,Coastview Vineyard,Big Basin
511,Cuvée St Clément,Boude Baudin
512,B. Zéro Brut Dosage,Boude Baudin
513,El Adobo Ranch Vineyard,Conn Creek
514,20 Barrels Limited Edition Peralillo Estate,Cono Sur
515,Silver Eagle Vineyard,D.R. Stephens
516,Soul Patch Estate Grown,Davis Family
517,Starr Ridge Vineyard,Davis Family
518,Le Clos l'Evêque Premier Cru,Domaine Jeannin-Naltet
519,The Brat,Prospect 772
520,Doux Sawyer Lindquist Vineyard,Qupé
521,Sawyer Lindquist Vineyard,Qupé
522,Sims Vineyard,Rex Hill
523,Steve's Reserve,Ruby
524,Wallula,Structure
525,Rincon Vineyard,Testarossa
526,Prince Hill Vineyard Reserve,Tumwater
527,Trocken,Wittmann
528,Brut Zéro Sélection,Jeaunaux-Robin
529,Bucher Vineyard,Joseph Jewell
530,Cuvée Alexandre Apalta Vineyard Made With Organic Grapes,Lapostolle
531,Blanc de Noir,Le Cadeau
532,Diversité,Le Cadeau
533,Équinoxe,Le Cadeau
534,Di Domenico,Le Vigne
535,Trocken,Maximin Grünhäuser
536,,Northstar
537,,Padis
538,Bradley Vineyard,Paul O'Brien
539,Twin Creeks Estate,Claiborne & Churchill
540,Bien Nacido Vineyard,Flying Goat Cellars
541,Solomon Hills Vineyard,Flying Goat Cellars
542,Praepositus Passito,Abbazia di Novacella
543,Cañon Creek Vineyard,Midsummer Cellars
544,Reckoning,ONX
545,Les Sommets,Les Belles Collines
546,Gap's Crown Vineyard,Lutum
547,Stolpman Vineyard,Turiya
548,Thomas Road,Iron Horse
549,Resa 56,Brandini
550,Estate Reserve,Artesa
551,Pagani Ranch,Carlisle
552,,Château Vignelaure
553,Winemaker's Selection Reserva,Clos d'Argentine
554,Mas Negrel Cadenet,Mas de Cadenet
555,,Passing Time
556,Gran Resalte,Resalte
557,Bien Nacido Vineyard,Sanctuary
558,Enigma,Terre Rouge
559,Hail Mary,Limerick Lane
560,Headpruned Block,Limerick Lane
561,Durell Vineyard,Loring Wine Company
562,,Eighty Four
563,Rancho Santa Rosa Vineyard,Flying Goat Cellars
564,Fire Light,Four Lanterns
565,Shapeshifter,Turiya
566,If Six Was Nine Reserve,World's End
567,Benegas Lynch La Encerrada Estate Vineyard,Benegas
568,Reserve,W.H. Smith
569,La Reyna Blanca Vineyard,Alleromb
570,Art Den Hoed Vineyard,Ardor
571,,Berryessa Gap
572,,Brezza
573,,Château Bois Chantant
574,Tradition,Château de Campuget
575,,Château de l'Aubrade
576,Les Terrasses de Pressac,Château de Pressac
577,Pinot Noir,Chateau Lafayette Reneau
578,Château Jean de Bel Air,Château Maison Noble Saint Martin
579,,Cupcake
580,,Raconteur
581,Orange Oak Ridge Vineyard,Savage Grace
582,,Seven Falls
583,Unfiltered Estate,Silvertip
584,,Steininger
585,StevensSteel,Stevens
586,Classic,Strauss
587,Classic,Strauss
588,,Trinity River
589,,Umathum
590,,Vintage Cowboy
591,GV,Winzer Krems
592,Summit View Vineyard,Kontos
593,,Landhaus Mayer
594,La Decelle,Lavau
595,,L'Ecole No. 41
596,,Lyrarakis
597,Furth-Palt,Malat
598,Starlight,Midnight
599,,Michael Pozzan
600,Le Marne,Michele Chiarlo
601,Viña Kristel,Monte Xanic
602,,Paoletti
603,,Peconic Bay Winery
604,Reserva 1423,Príncipe de Viana
605,Gran Reserve Winemaker's Selection,Proemio
606,Bomba,Quady North
607,Steel-Ox,Quady North
608,Verdelho and Sauvignon Blanc,Quinta do Portal
609,Estate,Raptor Ridge
610,Charlotte's Home Estate,Rodney Strong
611,Toyon Farm,Saintsbury
612,Caverio,Sextant
613,Paço de São Lourenço,Solar de Pinheiro
614,,Suavia
615,,Tilia
616,Dutton Ranch,B Cellars
617,Millesimato Extra Dry,Bacio della Luna
618,Unfiltered,Barlow
619,Brut,Borgo Maragliano
620,Dry,Bortolotti
621,,Claiborne & Churchill
622,Sidewinder,Coiled
623,Black Mamba,Coiled
624,Koos-Koos-Kia Colter's Creek Vineyard,Colter's Creek
625,,Corte Falco
626,Memorio Creari,Domenico Cavazza
627,Sivoy,Cascina La Ghersa
628,Alluvial Fans,Kangarilla Road
629,Pinpoint Extreme,Walt
630,Aliette,WillaKenzie Estate
631,Vendanges Tardives,Willm
632,Wineck-Schlossberg Grand Cru,Jean-Marc Bernhard
633,,Yeringberg
634,Tina's Block Maple Vineyard,Armida
635,Capellanía,Marqués de Murrieta
636,The Factor,Torbreck
637,Altenberg de Bergheim Grand Cru,Biecher & Schaal
638,Kitterlé Grand Cru,Domaines Schlumberger
639,Kessler Grand Cru,Domaines Schlumberger
640,Tinaquaic Vineyard,Foxen
641,,Les Belles Collines
642,Monte de Carrapatelo Colheita Seleccionada Tinto,Luis Duarte
643,,Melhill
644,Estate Grown,Niner
645,Freedom Hill Vineyard,Purple Hands
646,Lagoalva Barrel Selection Tinto,Quinta da Lagoalva de Cima
647,,Quinta do Monte Xisto
648,Brauneberger Juffer-Sonnenuhr Spätlese Grosse Lage,Reichsgraf von Kesselstatt
649,Three Twins Vineyard Fallen Feather,Stone The Crows
650,,Sturm
651,Pfersigberg Grand Cru,Kuentz-Bas
652,,Plantagenet
653,,Scratch
654,Rosacker Grand Cru,Sipp Mack
655,Lodi Native Marian's Vineyard,St. Amant
656,Nancy's,Stoller
657,Night Sky,Fable Mountain
658,,Vine Cliff
659,,Va Piano
660,Le Roi Soleil,Y Rousseau
661,,Monte Volpe
662,Ornato,Palladino
663,Rockpile Vineyard,Paradise Ridge
664,Siri d'Jermu,Pecchenino
665,Costa Bruna,Poderi Colla
666,,Poet's Leap
667,Soplo,Rafael Cambra
668,Virgin Berry,Raphael
669,McClellan Estate Vineyard,Seven Hills
670,Eco Made with Organic Grapes,Snoqualmie
671,,Stags' Leap Winery
672,Dry,The Grapes of Roth
673,Charles Vineyard,The Withers Winery
674,Estate,Truchard
675,,Acacia
676,Dijon Clone,Array
677,Smeriglio Riserva,Baracchi Riccardo
678,Smeriglio,Baracchi Riccardo
679,Sagemoor,Barrister
680,Selección Crianza,Bodegas Berceo
681,ALX,Bunnell
682,Metodo Classico,Castello di Neive
683,Cignale,Castello di Querceto
684,Canoe Ridge Vineyard,Chateau Ste. Michelle
685,Emmaline Ann Vineyard,Cobb
686,Acclivi,Comm. G. B. Burlotto
687,Gravel Ridge Vineyard,Cooper-Garrod
688,Reserve 34,Mosquito Fleet
689,Quattro Santa Barbara Highlands Vineyard,Nadia
9415,,Castle Rock
690,Nit'ana,Nittnaus Hans und Christine
691,Ghielmetti Vineyard Micro-lot Reserve,Nottingham Cellars
692,Capatosta,Poggio Argentiera
693,,Pride Mountain
694,Reserve,Reyneke
695,Riserva Ducale Oro Gran Selezione,Ruffino
696,Pioneer Block 20 Dillons Point Cash Block,Saint Clair
697,von Gösing,Soellner
698,Little Bear Creek,Woodinville Wine Cellars
699,Estate Wine,Kanonkop
700,,El Enemigo
701,Les Clans,Château d'Esclans
702,,Château Riotor
703,,Château Sainte Marguerite
704,,Château Vignelaure
12052,,Line 39
705,,Cloudy Bay
706,TwoB,Domaine de la Bastide Blanche
707,L'Esprit de Provence,Domaine du Grand Cros
708,VieVité Extraordinaire,Domaine Sainte-Marie
709,DCV2 Estate Four Clones Vineyard,Dry Creek Vineyard
710,,Dry River
711,Cohen Vineyard Dutton Ranch,Dutton Estate
712,Keefer Ranch,Failla
713,Dichotomy,Friedeman
714,Bannockburn,Akarua
715,Trisagio Malbec-Petit Verdot-Tannat,Benvenuto de la Serna
716,Unravelled,Carrick
717,No. 5,JCB
718,Bote Chardonnay-Fernão Pires-Vital,Casca Wines
719,Grande Réserve du Président,Cave de Viré
720,,Cortes de Cima
721,,Domaine Bousquet
722,,Mendel
723,Santola,Messias
724,Mont Sec Vineyards,Mont Sec
725,Meriame,Paolo Manzone
726,Casa de Paços,Quinta de Paços
727,,Rascal
728,Reserva,Terrazas de Los Andes
729,Audaz Branco,Herdade Grande
730,,Jack's House
731,Bin 068,Kiwi Cuvée
732,Mont-Avril,Domaine Michel Goubard
733,,Domaine Poulleau Père et Fils
734,,Durigutti
735,Don David Reserve,El Esteco
736,,Felten Cellars
737,Casa Ermelinda Freitas Monte de Baía,Wines & Winemakers
738,Henry Legarde,Lagarde
739,Riserva,Marchesi di Barolo
740,,McPherson
741,,Patriarche Père et Fils
742,,Paul Reitz
814,,Valdicava
743,Treborce Vineyard,Pech Merle
744,Campo Quadro Riserva,Punset
745,Pato Frio,Ribafreixo
746,Classic,Jacob's Creek
747,,William Knuttel
748,Fiori Delle Stelle Ice Wine,Casa Larga
749,Baron de Hoen,Cave de Beblenheim
750,Thornton Vineyard,De Loach
751,347 Vineyards,De Martino
752,,Dopff Au Moulin
753,Effort,Center of Effort
754,,El Coto
755,,Handley
756,,Kuleto Estate
757,Julia's Vineyard,Lane Tanner
758,,MacRostie
759,"Reserve, Vista del Monte Vineyard",Monte De Oro
760,Estate Grown,Mounts
761,Antu,Ninquén
762,Solo,Oro de Castilla
763,Ipsum,Pablo del Villar
764,Cuvée Christine,Pax
765,The Griffin,Robert Foley
766,,42°S
767,,Manyana
768,,McWilliam's Hanwood Estate
769,Synthesi,Paternoster
770,Mumm de Cramant Blanc de Blancs,G. H. Mumm
771,Ocean Reserve,Iron Horse
772,Grande Réserve Blanc de Blancs Grand Cru Brut,Jean Milan
773,Grande Reserva,Monte da Penha
774,Lorna Marie,Patton Valley
775,West Block,Patton Valley
776,Oenophile Premier Cru Blanc de Blancs Extra Brut,Pierre Gimonnet et Fils
777,Cràtis,Scubla
778,Winderlea Vineyard,Adelsheim
779,Assemblage Brut,Bruno Paillard
780,,Castello d'Albola
781,Giulio Ferrari Riserva del Fondatore,Ferrari
782,Cuvée M,Laetitia
783,Big River Ranch,Bella
784,VT '08,Quinta do Sagrado
785,,San Pedro de Yacochuya
786,Aneto Tinto,Sobredos
787,Rutherford Estate Vineyard,St. Supéry
788,Bramare Marchiori Vineyard,Viña Cobos
789,Apollo Dry,Von Schleinitz
790,Signature,Barnard Griffin
791,Chehalem Mountain Vineyard,Beacon Hill
792,La Sérénité des Grands Chênes,Bernard Magrez
793,Tuttorosso,Brian Carter Cellars
794,,Buttonwood
795,Divin de Corbin,Château Corbin
796,,Château Haut-Logat
